tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-02-01 07:11:00,1612143660000,ETHUSDT,1305.06,1311.74,1305.05,1311.37,2756362.05233,0,2105.064
2021-02-01 07:12:00,1612143720000,ETHUSDT,1311.36,1316.48,1311.28,1315.56,4352668.31424,0,3311.471
2021-02-01 07:13:00,1612143780000,ETHUSDT,1315.56,1321.0,1314.79,1320.84,3448317.64535,0,2615.471
2021-02-01 07:14:00,1612143840000,ETHUSDT,1320.84,1321.0,1318.15,1320.03,1238039.07658,0,938.164
2021-02-01 07:15:00,1612143900000,ETHUSDT,1320.03,1324.2,1319.72,1321.05,4266360.0605,0,3226.998
2021-02-01 07:16:00,1612143960000,ETHUSDT,1321.07,1321.61,1315.82,1316.0,1333172.21903,0,1011.631
2021-02-01 07:17:00,1612144020000,ETHUSDT,1316.0,1316.0,1312.31,1314.34,1735278.10995,0,1320.595
2021-02-01 07:18:00,1612144080000,ETHUSDT,1314.31,1315.64,1311.86,1311.86,898529.42307,0,683.659
2021-02-01 07:19:00,1612144140000,ETHUSDT,1311.86,1316.07,1311.66,1313.98,1423461.94445,0,1083.184
2021-02-01 07:20:00,1612144200000,ETHUSDT,1313.99,1318.71,1313.82,1314.0,2173395.00217,0,1650.058
2021-02-01 07:21:00,1612144260000,ETHUSDT,1314.02,1316.83,1313.22,1316.09,537197.49267,0,408.434
2021-02-01 07:22:00,1612144320000,ETHUSDT,1316.12,1320.0,1315.85,1319.68,1586707.70217,0,1203.637
2021-02-01 07:23:00,1612144380000,ETHUSDT,1319.71,1319.71,1317.5,1317.76,545004.55773,0,413.361
2021-02-01 07:24:00,1612144440000,ETHUSDT,1317.76,1319.22,1317.09,1319.22,1198534.3586,0,909.374
2021-02-01 07:25:00,1612144500000,ETHUSDT,1319.21,1321.0,1318.2,1319.05,477657.4993,0,361.914
2021-02-01 07:26:00,1612144560000,ETHUSDT,1319.02,1319.1,1315.29,1316.59,801131.59117,0,608.444
2021-02-01 07:27:00,1612144620000,ETHUSDT,1316.58,1318.4,1316.32,1317.63,1295569.37235,0,983.495
2021-02-01 07:28:00,1612144680000,ETHUSDT,1317.63,1319.46,1316.65,1318.25,765279.93378,0,580.608
2021-02-01 07:29:00,1612144740000,ETHUSDT,1318.14,1320.44,1318.13,1320.18,1204564.30475,0,912.867
2021-02-01 07:30:00,1612144800000,ETHUSDT,1320.26,1320.88,1314.71,1315.79,2297851.22824,0,1742.598
2021-02-01 07:31:00,1612144860000,ETHUSDT,1315.8,1315.81,1313.55,1315.13,625947.3298,0,475.961
2021-02-01 07:32:00,1612144920000,ETHUSDT,1315.13,1315.67,1313.65,1313.96,341018.28067,0,259.34
